Mn,Fe,Co,Î± at 4.4 eV (cm-1)
0.072272173,0.156307411,0.771420416,286521.9766
0.060916486,0.111736785,0.827346729,315221.4201
0.048321728,0.076952085,0.874726187,296803.1423
0.039120253,0.040621704,0.920258043,283758.1412
0.040257135,0.045868605,0.91387426,288199.0475
0.044076233,0.059646634,0.896277132,305649.2334
0.051527452,0.083428647,0.8650439,281057.8548
0.062749124,0.11913761,0.818113266,310549.1222
0.072051211,0.15715811,0.770790679,348123.6804
0.080096448,0.219970111,0.69993344,335710.1557
0.092210927,0.300969313,0.60681976,277069.3928
0.099190387,0.3956088,0.505200813,303255.3163
0.098042289,0.598366651,0.303591061,316687.6179
0.102202007,0.499212571,0.398585422,306728.6622
0.094202915,0.403647574,0.502149511,306625.9101
0.088842105,0.316818524,0.594339371,276227.3889
0.080756466,0.234508344,0.68473519,299092.8986
0.07304132,0.164921199,0.762037481,351681.3596
0.066492927,0.12755602,0.805951053,355800.1887
0.056147095,0.088377629,0.855475275,296097.8045
0.049601371,0.066001891,0.884396738,301270.5738
0.042267099,0.052329669,0.905403231,301027.1687
0.04036402,0.040658198,0.918977782,304036.057
0.040524988,0.036649257,0.922825755,285580.41
0.040471884,0.040128552,0.919399564,272367.7789
0.050117279,0.052058118,0.897824603,287668.4096
0.045874594,0.047277727,0.906847679,293827.6365
0.046272599,0.04729782,0.906429581,296955.7821
0.046160738,0.049204,0.904635262,321099.3145
0.050016936,0.058386216,0.891596848,321635.2415
0.055696185,0.072526362,0.871777453,316191.2927
0.063339528,0.096485878,0.840174594,315607.2056
0.074992533,0.135082861,0.789924606,367818.3064
0.081130568,0.182177746,0.736691686,372421.7928
0.087437084,0.238163529,0.674399387,319787.6435
0.091941592,0.326810317,0.581248091,342664.2364
0.096800149,0.439659983,0.463539868,312708.3254
0.098134922,0.539784744,0.362080333,323374.7184
0.095218715,0.632378996,0.272402289,297583.4311
0.098783526,0.700447238,0.200769236,275051.4007
0.082042682,0.735747154,0.182210165,288815.5071
0.092122897,0.648752434,0.259124669,306672.821
0.097180606,0.559414965,0.343404429,326807.6918
0.099539213,0.456827273,0.443633514,317214.3222
0.103420086,0.366534677,0.530045237,319012.6437
0.101575882,0.272859383,0.625564734,332763.4609
0.093063088,0.206962179,0.699974733,371488.8641
0.082171652,0.138992909,0.77883544,390556.0537
0.072655935,0.103650748,0.823693317,322387.3306
0.067015116,0.084755569,0.848229316,357836.4136
0.059631071,0.067865463,0.872503466,334192.3427
0.05538314,0.063067931,0.881548929,324420.7914
0.05665363,0.058962548,0.884383822,317222.588
0.060854133,0.058798161,0.880347707,311649.6808
0.06048763,0.060405428,0.879106942,306917.3424
0.066548975,0.066146441,0.867304584,308562.5192
0.074211175,0.076166886,0.849621939,335622.7925
0.073561046,0.07187704,0.854561914,344008.0141
0.072977608,0.071976675,0.855045718,341340.9773
0.069785765,0.070293053,0.859921182,353181.8701
0.073182458,0.076650415,0.850167127,348676.7239
0.074994144,0.0830336,0.841972257,345777.3918
0.078734183,0.098171467,0.82309435,334910.5178
0.089132234,0.123138937,0.787728828,336413.0217
0.098976792,0.158574501,0.742448707,398401.84
0.112074252,0.217866587,0.670059161,381840.7284
0.115902735,0.278871523,0.605225742,348555.5795
0.115227919,0.373874842,0.510897239,340746.1525
0.103619132,0.488125177,0.408255691,320315.8893
0.096462951,0.59308039,0.310456659,324370.9834
0.08700529,0.683789193,0.229205518,320196.7649
0.083535638,0.741098181,0.175366181,304670.5899
0.078462171,0.795255122,0.126282707,287144.4695
0.06901656,0.836958498,0.094024942,301701.4895
0.075543634,0.804620788,0.119835578,312928.7135
0.08325399,0.759519186,0.157226825,325587.3442
0.091607148,0.696407276,0.211985577,337408.383
0.099994255,0.599967938,0.300037806,340536.6084
0.110405314,0.498177473,0.391417213,346165.5163
0.122982063,0.408415729,0.468602208,332522.5808
0.125807,0.31426947,0.55992353,334206.4824
0.124581807,0.240696197,0.634721996,359009.3453
0.114744293,0.175581969,0.709673739,446662.6719
0.108940158,0.140820761,0.750239081,406379.3488
0.096062691,0.111378237,0.792559072,416638.9593
0.090386388,0.09806464,0.811548972,381925.9121
0.089572241,0.092632836,0.817794922,382891.4259
0.090236865,0.089312688,0.820450447,387234.2047
0.095249231,0.088197994,0.816552775,372484.4913
0.09117307,0.087214644,0.821612286,368703.4205
0.092337809,0.092196776,0.815465415,369671.4061
0.09536735,0.100706904,0.803925746,365952.3428
0.109516328,0.113066476,0.777417196,383650.6913
0.114843009,0.107359848,0.777797143,391309.9237
0.116246742,0.108490326,0.775262932,399882.4167
0.119397946,0.107401203,0.773200852,407955.528
0.125624551,0.111395435,0.762980013,420582.6899
0.119358991,0.114257713,0.766383296,403181.7804
0.124711826,0.124015129,0.751273044,423175.4401
0.129735675,0.136835136,0.73342919,431120.2043
0.134097039,0.155189569,0.710713393,455165.5827
0.140615827,0.195169798,0.664214375,454230.5543
0.145437461,0.257445272,0.597117266,431647.0149
0.144407632,0.340956774,0.514635594,400872.3295
0.137015441,0.432351144,0.430633415,385248.1864
0.12155967,0.531535335,0.346904995,369375.9605
0.10724003,0.61621291,0.27654706,364093.3959
0.091679956,0.709844928,0.198475117,356262.3075
0.081935225,0.769442753,0.148622022,347630.1459
0.075692328,0.808739663,0.115568009,338464.3697
0.069514628,0.840174299,0.090311074,328382.8876
0.068881319,0.848179882,0.082938799,357654.3516
0.074498463,0.813853892,0.111647645,365900.7275
0.08026261,0.772741361,0.14699603,373882.9673
0.094920338,0.710283305,0.194796357,376654.4041
0.108557976,0.642744,0.248698024,389857.8922
0.127942499,0.55293359,0.319123912,392223.3172
0.149232269,0.438251718,0.412516013,408458.4712
0.166059751,0.36528183,0.468658418,388102.4415
0.173523384,0.275154419,0.551322196,468144.6692
0.177227691,0.221590143,0.601182166,492601.0561
0.168207846,0.178855579,0.652936576,478443.9082
0.157241922,0.154718938,0.68803914,496092.183
0.159724538,0.146904297,0.693371165,468896.2003
0.155960944,0.140853173,0.703185883,458776.2061
0.163066701,0.137383255,0.699550044,456056.7035
0.153407371,0.130176565,0.716416065,439992.5018
0.152968977,0.129518228,0.717512795,424447.4826
0.144204835,0.125390251,0.730404914,413151.2345
0.148313612,0.132931383,0.718755005,405352.0402
0.157211818,0.141298777,0.701489405,390494.2058
0.186680365,0.157275454,0.656044182,417926.3908
0.17775174,0.149286323,0.672961938,433935.1234
0.185770899,0.14547055,0.668758551,449988.9064
0.193644573,0.148868252,0.657487175,452015.9351
0.193121203,0.149440939,0.657437858,483061.9064
0.204149766,0.157384062,0.638466171,473665.6422
0.206173568,0.163705182,0.63012125,497670.6214
0.20899483,0.172841644,0.618163526,511391.1923
0.211389028,0.183431228,0.605179745,497999.4494
0.2042541,0.200019156,0.595726744,514161.7786
0.208886977,0.245796777,0.545316246,500408.0378
0.19878393,0.292186151,0.509029919,469632.369
0.193794386,0.370030522,0.436175092,466458.7477
0.166846028,0.462824876,0.370329097,445301.2196
0.142685606,0.549505153,0.30780924,414017.4513
0.119072291,0.637995375,0.242932335,413985.2915
0.097003891,0.717025494,0.185970615,396896.3593
0.080801025,0.783499424,0.135699551,392428.4228
0.074671151,0.821232974,0.104095875,390692.9325
0.069301569,0.845546787,0.085151644,383725.669
0.065280214,0.863783127,0.070936659,377045.0535
0.068786811,0.860089474,0.071123715,403057.7921
0.069872164,0.849098656,0.08102918,406212.0111
0.077689973,0.814665484,0.107644542,408490.2059
0.092308677,0.769376743,0.13831458,411348.873
0.1066813,0.719200049,0.17411865,412776.5587
0.129179017,0.645838916,0.224982067,421486.8873
0.152956761,0.559760654,0.287282585,429696.4522
0.191742247,0.454077902,0.35417985,427057.6151
0.223328062,0.365762328,0.410909609,516924.4445
0.245595509,0.307048863,0.447355628,534835.4203
0.252163554,0.25666958,0.491166866,522990.5407
0.262758051,0.224436566,0.512805383,525122.6604
0.256631735,0.20680652,0.536561745,543195.9771
0.268108724,0.19397571,0.537915566,527848.4355
0.266565143,0.179602214,0.553832643,502640.8898
0.25554583,0.171631388,0.572822782,484960.2957
0.244211836,0.167678837,0.588109327,460560.7866
0.246427034,0.164301733,0.589271233,493730.0005
0.243690095,0.156268929,0.600040975,467444.9661
0.229321554,0.166589119,0.604089327,391834.6877
0.228072366,0.169139923,0.602787711,421580.6028
0.271438374,0.184878767,0.54368286,331368.6527
0.27895436,0.175974108,0.545071532,415771.573
0.292250676,0.16666765,0.541081674,458136.5701
0.301998325,0.170981725,0.52701995,513100.3965
0.317143522,0.177613537,0.505242941,508396.6032
0.315435458,0.184294578,0.500269964,532556.0561
0.321229685,0.192701278,0.486069037,538596.9559
0.320323234,0.201967267,0.4777095,547079.6139
0.318101086,0.216496365,0.465402549,545958.2709
0.321416589,0.23762972,0.440953691,519359.9834
0.27789221,0.318315888,0.403791901,481806.6082
0.240177627,0.390668354,0.369154019,529008.6362
0.204222593,0.47303292,0.322744487,518057.0568
0.174332873,0.552199686,0.27346744,457408.056
0.140819642,0.636660884,0.222519474,447190.3596
0.113728343,0.710916917,0.17535474,432929.1307
0.093088573,0.774321852,0.132589575,430057.2275
0.079726063,0.814925761,0.105348175,428022.172
0.070774816,0.843802921,0.085422264,428310.7604
0.068173394,0.859128915,0.072697691,541270.4247
0.078253749,0.835152494,0.086593757,455108.2265
0.08829675,0.801925229,0.10977802,456542.5568
0.101995261,0.761045547,0.136959192,459072.9274
0.126279027,0.701218443,0.172502531,473558.6375
0.15341362,0.639259689,0.207326691,476429.0523
0.192235439,0.556321991,0.25144257,473537.8532
0.238705429,0.4618913,0.299403272,481208.9662
0.270282353,0.40363138,0.326086267,493983.3458
0.314604934,0.327344625,0.358050441,551930.811
0.342810915,0.281604802,0.375584283,542749.1409
0.376182537,0.24588485,0.377932613,539103.1151
0.383067184,0.223793718,0.393139098,545599.303
0.395463922,0.207844137,0.396691941,539157.3882
0.393445377,0.197973572,0.408581052,530279.9877
0.381858981,0.18819571,0.429945308,529775.5295
0.38651703,0.180556271,0.432926699,515009.3109
0.367249405,0.178805625,0.45394497,503502.4022
0.36412818,0.176343259,0.459528561,519819.7367
0.340722312,0.181377726,0.477899962,501895.6312
0.32605961,0.184385619,0.489554771,461726.994
0.428159754,0.175830093,0.396010152,508644.6329
0.444183793,0.172118465,0.383697742,543028.7989
0.447845083,0.175227733,0.376927184,504442.7994
0.462655629,0.18066611,0.356678261,515472.1472
0.459833809,0.189490247,0.350675944,523986.3272
0.47092021,0.195407711,0.333672079,549560.7082
0.469526183,0.205215181,0.325258637,526319.114
0.453341258,0.221671487,0.324987256,533558.9657
0.441621743,0.24390587,0.314472387,536390.576
0.405235416,0.2745887,0.320175884,525002.3666
0.361271591,0.325460009,0.313268401,527159.3106
0.309870772,0.391599248,0.29852998,501712.9313
0.259048955,0.467123451,0.273827593,497331.6935
0.220438862,0.540016117,0.239545021,503608.1843
0.182646542,0.611613,0.205740458,507878.909
0.148674334,0.684107574,0.167218092,502771.4429
0.117844277,0.74719204,0.134963683,501116.1929
0.102244805,0.784491852,0.113263342,499127.9686
0.087763123,0.820354185,0.091882691,499305.2997
0.101210282,0.79987027,0.098919448,522002.4618
0.115825471,0.76876817,0.115406359,523169.4133
0.137512142,0.728370015,0.134117843,523246.1718
0.170762422,0.663576813,0.165660765,521042.0245
0.207097043,0.596636589,0.196266368,525993.7943
0.241269533,0.535876759,0.222853708,524126.5549
0.299011408,0.453396567,0.247592024,509070.7911
0.355132285,0.383526955,0.261340759,495943.6097
0.403775229,0.323008058,0.273216713,507261.3863
0.470207649,0.267931253,0.261861098,514102.6682
0.497554708,0.235164031,0.267281261,526216.3619
0.533608864,0.208237183,0.258153953,520643.0294
0.547645333,0.191048929,0.261305737,507873.806
0.55109367,0.18363994,0.265266389,511330.5936
0.54608039,0.180288349,0.273631261,465641.8338
0.537502095,0.169961628,0.292536277,519974.5825
0.53431705,0.166849363,0.298833588,509538.89
0.520069902,0.167098278,0.312831821,504609.7118
0.495708978,0.171846313,0.332444709,505560.0493
0.586613869,0.161322989,0.252063143,504048.1101
0.611610652,0.156528538,0.231860809,507158.7937
0.613495064,0.157548893,0.228956042,451191.7919
0.62411149,0.163657161,0.212231349,481686.3143
0.619810424,0.169425503,0.210764073,482432.0513
0.607020322,0.182661482,0.210318196,485312.6722
0.593050111,0.202292797,0.204657092,501618.8969
0.559555522,0.224564596,0.215879882,515037.165
0.516469942,0.262578184,0.220951874,512167.2287
0.451805452,0.316585896,0.231608652,516295.0147
0.401435491,0.372712337,0.225852172,478970.4264
0.339351042,0.434050328,0.22659863,513598.2632
0.276790544,0.518624163,0.204585293,520509.8185
0.237259601,0.578887262,0.183853138,527796.6608
0.200469811,0.636029031,0.163501158,534155.5446
0.168327625,0.692225743,0.139446632,533938.718
0.134920384,0.745236345,0.119843271,530037.6989
0.193439874,0.670627553,0.135932573,534779.4462
0.226845533,0.612937299,0.160217168,529777.0179
0.27224563,0.549253124,0.178501245,530374.0221
0.32423789,0.484626211,0.191135898,522155.5534
0.371693559,0.42752344,0.200783002,513064.1967
0.431542462,0.364448858,0.20400868,495971.3575
0.495695834,0.311783091,0.192521074,497195.7716
0.563331684,0.250587894,0.186080423,502582.311
0.61458501,0.212094656,0.173320334,488423.2494
0.655043896,0.183689591,0.161266514,484456.6349
0.677565003,0.163502486,0.158932511,469720.503
0.689470454,0.151439572,0.159089974,441204.6897
0.688882994,0.147891169,0.163225838,453914.2181
0.687378186,0.14457428,0.168047534,414222.5303
0.669772742,0.144747887,0.185479372,436698.7461
0.631009702,0.152397809,0.216592488,465354.2554
0.721671798,0.138885513,0.139442689,394606.6827
0.734529437,0.132255233,0.13321533,399075.2571
0.733418569,0.136607114,0.129974317,430581.8853
0.742917646,0.136420953,0.120661401,432187.0616
0.724086093,0.152635575,0.123278333,439589.7857
0.692328404,0.176506656,0.13116494,455798.3082
0.662894777,0.199105411,0.137999811,474930.296
0.604053264,0.240373609,0.155573127,494673.2681
0.548512796,0.286161821,0.165325383,495705.414
0.485431012,0.33758333,0.176985658,502143.8204
0.425813754,0.394781285,0.179404962,516526.8316
0.358742723,0.466808922,0.174448354,527358.7018
0.301573957,0.531011089,0.167414954,531980.7931
0.260032548,0.59017465,0.149792803,536832.256
0.221132792,0.64193781,0.136929398,536481.6336
0.298382396,0.555147082,0.146470521,542193.7585
0.344011732,0.501270638,0.15471763,537041.9065
0.400363575,0.441270808,0.158365617,531692.7895
0.456184219,0.384787029,0.159028752,527379.4861
0.520285185,0.326134661,0.153580154,506100.9731
0.589780832,0.271422566,0.138796601,491178.3139
0.636213283,0.234331226,0.12945549,474448.9079
0.702434595,0.185583921,0.111981484,455596.4186
0.73582966,0.160873979,0.103296362,441612.0038
0.762371745,0.139599802,0.098028453,428861.7308
0.781323019,0.127031603,0.091645378,413351.6888
0.779115335,0.123450088,0.097434577,413408.4337
0.77912508,0.11884373,0.10203119,401566.2385
0.805326705,0.121753264,0.072920031,409278.3885
0.787803366,0.133918579,0.078278055,411194.4524
0.771918702,0.148109286,0.079972012,423498.6601
0.736123707,0.173161248,0.090715045,439930.0425
0.685080377,0.213181937,0.101737686,437919.7581
0.624728974,0.255856398,0.119414628,487677.1404
0.568334301,0.304655843,0.127009855,512531.406
0.509532045,0.354059444,0.136408511,530930.3613
0.431977712,0.42603932,0.141982968,541711.6262
