Mn,Co,Fe,log(k*)400ÂºC (cm/s)
0.1341,0.54052,0.32538,-9.001795606
0.34283,0.45955,0.19762,-9.362016216
0.20703,0.55778,0.23519,-9.332906773
0.51031,0.33799,0.1517,-9.933256756
0.54359,0.32059,0.13582,-10.70013983
0.43105,0.42042,0.14852,-10.14829963
0.29928,0.52873,0.17199,-9.438159513
0.16821,0.64238,0.18941,-9.148726359
0.11683,0.64778,0.23539,-9.094115651
0.10111,0.72017,0.17872,-8.947156062
0.14496,0.68936,0.16568,-9.147227322
0.22002,0.6338,0.14618,-9.207120354
0.32348,0.53852,0.138,-9.597671544
0.37403,0.46904,0.15693,-10.27505681
0.43868,0.41364,0.14767,-10.42759546
0.27088,0.58775,0.14137,-9.822772377
0.20872,0.66375,0.12753,-9.217151293
0.16125,0.69644,0.14231,-9.082954761
0.11883,0.74038,0.14079,-9.016596555
0.11475,0.74656,0.13869,-8.914409766
0.09655,0.79803,0.10542,-9.03258074
0.14077,0.7324,0.12683,-9.09813972
0.15344,0.71914,0.12742,-9.229925261
0.21774,0.65238,0.12988,-9.684075814
0.60214,0.25847,0.13939,-11.13761635
0.58908,0.2662,0.14472,-11.104814
0.58908,0.2662,0.14472,-11.07591309
0.53949,0.29981,0.1607,-10.72893943
0.53949,0.29981,0.1607,-10.61742288
0.49042,0.3313,0.17828,-10.65573548
0.47431,0.35211,0.17358,-10.24742687
0.39886,0.3985,0.20264,-10.03910132
0.39886,0.3985,0.20264,-9.779763736
0.31477,0.44998,0.23525,-9.574650035
0.29259,0.46282,0.24459,-9.455642936
0.26123,0.49102,0.24775,-9.515328677
0.23133,0.506,0.26267,-9.327410836
0.23133,0.506,0.26267,-9.295456564
0.19963,0.51754,0.28283,-9.281203622
0.1663,0.53506,0.29864,-9.261491357
0.16719,0.51907,0.31374,-9.295717327
0.13998,0.49063,0.36939,-9.252536919
0.15039,0.45609,0.39352,-9.20744443
0.15039,0.45609,0.39352,-9.171132671
0.09558,0.42435,0.48007,-9.15390423
0.09558,0.42435,0.48007,-9.16718974
0.09927,0.40117,0.49956,-9.035300168
0.09927,0.40117,0.49956,-9.01181932
0.13061,0.44777,0.42162,-8.962880406
0.15047,0.47297,0.37656,-8.977938852
0.15047,0.47297,0.37656,-9.012508918
0.18875,0.47852,0.33273,-9.158469724
0.18875,0.47852,0.33273,-9.277230382
0.23431,0.48277,0.28292,-9.304675959
0.23431,0.48277,0.28292,-9.372421146
0.29016,0.43999,0.26985,-9.51844702
0.33736,0.42047,0.24217,-9.625260816
0.37214,0.39177,0.23609,-9.778241593
0.37214,0.39177,0.23609,-9.8127896
0.44576,0.34177,0.21247,-9.954199951
0.44576,0.34177,0.21247,-10.10159737
0.4772,0.32197,0.20083,-10.35338261
0.54485,0.28254,0.17261,-10.62883235
0.57287,0.26829,0.15884,-10.86319068
0.6146,0.24958,0.13582,-11.00847445
0.6146,0.24958,0.13582,-11.03002992
0.62659,0.2382,0.13521,-11.10852276
0.6146,0.24958,0.13582,-11.01559917
0.57287,0.26829,0.15884,-10.91986436
0.54485,0.28254,0.17261,-10.38043192
0.50471,0.30946,0.18583,-10.14828069
0.4772,0.32197,0.20083,-9.922178049
0.44576,0.34177,0.21247,-9.713247215
0.40313,0.36857,0.2283,-9.686449129
0.37214,0.39177,0.23609,-9.673408145
0.33736,0.42047,0.24217,-9.500911171
0.29016,0.43999,0.26985,-9.424044733
0.27578,0.4525,0.27172,-9.345615509
0.23431,0.48277,0.28292,-9.286679176
0.20879,0.48353,0.30768,-9.239975048
0.18875,0.47852,0.33273,-9.19802995
0.17618,0.48408,0.33974,-9.158671194
0.15047,0.47297,0.37656,-9.009464469
0.13061,0.44777,0.42162,-8.976780474
0.11253,0.42127,0.46621,-8.953692173
0.09927,0.40117,0.49956,-8.998802998
0.10251,0.37179,0.5257,-9.018652171
0.07271,0.32084,0.60645,-9.012221601
0.10448,0.32287,0.57265,-8.992862711
0.12456,0.34385,0.53159,-8.992884072
0.13413,0.37713,0.48873,-8.958311306
0.13359,0.40142,0.46499,-8.98509322
0.15078,0.42316,0.42606,-9.022430482
0.1759,0.43577,0.38833,-9.167995289
0.18658,0.44519,0.36823,-9.231147394
0.21859,0.4405,0.34091,-9.265907775
0.2488,0.43692,0.31428,-9.3240989
0.28017,0.42491,0.29492,-9.414237062
0.32776,0.39839,0.27385,-9.526661956
0.34902,0.39178,0.25919,-9.622067534
0.38286,0.36807,0.24907,-9.700985457
0.41138,0.3536,0.23502,-9.905532365
0.47006,0.32014,0.2098,-10.0592256
0.49718,0.30932,0.1935,-10.25527059
0.53818,0.2772,0.18462,-10.49242071
0.56817,0.25593,0.1759,-10.69689254
0.59854,0.24918,0.15228,-10.74327504
0.62156,0.23424,0.1442,-11.06897868
0.65884,0.20878,0.13238,-11.04320268
0.67145,0.19761,0.13094,-11.18281356
0.68021,0.17637,0.14342,-11.21547186
0.63061,0.21298,0.15641,-11.19108311
0.63061,0.21298,0.15641,-11.05995193
0.60503,0.22652,0.16845,-10.8089544
0.53408,0.25771,0.20821,-10.64079651
0.49827,0.27228,0.22945,-10.2852236
0.47023,0.28358,0.24619,-10.13573996
0.47023,0.28358,0.24619,-9.947036871
0.42133,0.31243,0.26625,-9.779423859
0.33711,0.34823,0.31466,-9.659460708
0.33711,0.34823,0.31466,-9.543659782
0.25824,0.37648,0.36528,-9.39036291
0.25824,0.37648,0.36528,-9.369316912
0.25304,0.37559,0.37138,-9.270185066
0.22338,0.38128,0.39534,-9.228296429
0.15422,0.36236,0.48342,-9.165974347
0.1611,0.34102,0.49788,-9.014132718
0.1611,0.34102,0.49788,-8.987487563
0.13191,0.33032,0.53777,-8.957219791
0.08895,0.29102,0.62003,-8.992849895
0.08895,0.29102,0.62003,-8.992909707
0.09396,0.23952,0.66652,-9.020044381
0.09396,0.23952,0.66652,-8.988488763
0.09593,0.26412,0.63995,-8.964106195
0.08895,0.29102,0.62003,-8.963159597
0.1241,0.29225,0.58365,-8.969570305
0.13191,0.33032,0.53777,-8.995132876
0.1611,0.34102,0.49788,-9.036681181
0.15422,0.36236,0.48342,-9.082696718
0.19622,0.37029,0.43349,-9.274406858
0.22338,0.38128,0.39534,-9.319486816
0.25304,0.37559,0.37138,-9.376927566
0.25824,0.37648,0.36528,-9.394945042
0.31408,0.35989,0.32603,-9.54506829
0.33711,0.34823,0.31466,-9.729099998
0.3807,0.33766,0.28164,-9.882294627
0.42133,0.31243,0.26625,-9.918238761
0.47023,0.28358,0.24619,-10.25108901
0.49827,0.27228,0.22945,-10.40256481
0.53408,0.25771,0.20821,-10.57279475
0.54821,0.24636,0.20543,-10.72451819
0.60503,0.22652,0.16845,-10.8264641
0.63061,0.21298,0.15641,-10.91126518
0.68021,0.17637,0.14342,-11.13182478
0.68693,0.18171,0.13136,-11.09301723
0.66911,0.18209,0.1488,-11.15580437
0.64176,0.19215,0.16609,-11.13241585
0.62221,0.21119,0.1666,-11.08155235
0.58516,0.22233,0.19251,-10.90308651
0.54723,0.24799,0.20478,-10.73277193
0.49497,0.27258,0.23244,-10.47401632
0.46968,0.28089,0.24943,-10.42182857
0.42386,0.29682,0.27932,-10.66258667
0.387,0.31006,0.30294,-10.12051704
0.34107,0.32745,0.33148,-9.883760965
0.29391,0.34643,0.35966,-9.720241827
0.27454,0.35276,0.37271,-9.526808012
0.24355,0.35962,0.39682,-9.36500511
0.2099,0.36858,0.42152,-9.357818506
0.18107,0.35118,0.46775,-9.302635506
0.15956,0.33955,0.50089,-9.168599312
0.15386,0.31808,0.52806,-9.004734332
0.13448,0.29616,0.56936,-8.975830522
0.11109,0.2696,0.61931,-8.966479745
0.10901,0.24426,0.64673,-8.965379564
0.08053,0.2434,0.67607,-8.988175904
0.08419,0.18742,0.72839,-8.864546121
0.08059,0.20056,0.71885,-8.885829538
0.09663,0.21485,0.68852,-8.890553077
0.13745,0.23404,0.62851,-8.948110767
0.1395,0.25463,0.60587,-9.012178275
0.16695,0.26879,0.56426,-9.100161448
0.18616,0.27345,0.54039,-9.30877082
0.19582,0.30284,0.50134,-9.447453452
0.23272,0.29609,0.47119,-9.555525809
0.27029,0.29851,0.4312,-9.777176919
0.30984,0.2862,0.40395,-9.962557565
0.33513,0.29133,0.37354,-10.26758613
0.35989,0.29676,0.34335,-10.36798938
0.41143,0.27359,0.31498,-10.49571812
0.46014,0.25388,0.28598,-10.66503384
0.48959,0.23983,0.27057,-10.87991657
0.52112,0.23102,0.24786,-10.72808408
0.57102,0.21306,0.21592,-10.79160165
0.5941,0.20034,0.20556,-10.84600841
0.63781,0.18812,0.17407,-10.97007268
0.66316,0.17332,0.16352,-10.96022115
0.66758,0.17681,0.15561,-10.90144972
0.62975,0.18453,0.18572,-10.87172677
0.62082,0.1874,0.19178,-10.76565485
0.57995,0.19802,0.22203,-10.71102011
0.51017,0.22777,0.26206,-10.68704026
0.48986,0.23536,0.27478,-10.61026173
0.45734,0.24365,0.29902,-10.69069781
0.40272,0.25583,0.34145,-10.55008984
0.35558,0.26679,0.37763,-10.49475096
0.32877,0.27853,0.3927,-10.29264277
0.29568,0.28109,0.42323,-10.14995141
0.27066,0.28166,0.44769,-9.94754462
0.2328,0.27724,0.48996,-9.6801676
0.18192,0.28244,0.53564,-9.456223651
0.17099,0.27012,0.55889,-9.292503916
0.1484,0.24206,0.60954,-9.150283377
0.12415,0.23197,0.64388,-9.059413794
0.11212,0.21242,0.67546,-9.0018209
0.09417,0.201,0.70483,-8.960371761
0.07521,0.18777,0.73702,-8.886501192
0.06976,0.17332,0.75692,-8.861678351
0.05119,0.15853,0.79028,-8.883508482
0.08759,0.17875,0.73366,-8.881450909
0.08759,0.17875,0.73366,-8.966041748
0.12612,0.21606,0.65782,-9.005447063
0.14398,0.22493,0.63109,-9.079636104
0.17927,0.24663,0.5741,-9.271474969
0.17927,0.24663,0.5741,-9.37389892
0.20117,0.25611,0.54272,-9.572822356
0.24991,0.26277,0.48732,-9.836263327
0.29766,0.25947,0.44287,-10.02936958
0.32263,0.26073,0.41664,-10.26220803
0.32263,0.26073,0.41664,-10.44360341
0.35562,0.25222,0.39216,-10.53845045
0.40092,0.24717,0.35191,-10.64384024
0.4795,0.23197,0.28853,-10.85644813
0.53727,0.20589,0.25684,-10.76013018
0.58029,0.19582,0.22389,-10.7597179
0.58029,0.19582,0.22389,-10.85556591
0.59325,0.18638,0.22037,-10.93574798
0.61338,0.19446,0.19216,-10.9360215
0.63057,0.17797,0.19146,-10.58610203
0.59325,0.18638,0.22037,-10.89668214
0.58029,0.19582,0.22389,-10.86684446
0.53727,0.20589,0.25684,-10.79418686
0.4795,0.23197,0.28853,-10.63590887
0.45044,0.23192,0.31764,-10.82803088
0.40092,0.24717,0.35191,-10.79433559
0.35562,0.25222,0.39216,-10.62912993
0.32263,0.26073,0.41664,-10.69243123
0.29766,0.25947,0.44287,-10.58153961
0.24991,0.26277,0.48732,-10.44938646
0.23528,0.26495,0.49977,-10.24912689
0.20117,0.25611,0.54272,-10.01485611
0.17927,0.24663,0.5741,-9.794157119
0.14398,0.22493,0.63109,-9.541969833
0.12612,0.21606,0.65782,-9.378815406
0.11162,0.19729,0.69109,-9.248693176
0.08759,0.17875,0.73366,-9.110208801
0.09064,0.15996,0.7494,-8.975407619
0.08883,0.16109,0.75008,-9.065368251
0.10378,0.18449,0.71173,-9.141974994
0.11762,0.18595,0.69643,-9.278989487
0.14754,0.20866,0.6438,-9.48406393
0.16548,0.21648,0.61804,-9.634038668
0.18456,0.23517,0.58027,-9.905724575
0.22873,0.24557,0.5257,-10.15839717
0.24367,0.24983,0.5065,-10.3998573
0.28736,0.25092,0.46173,-10.58004921
0.3215,0.24631,0.4322,-10.69843181
0.34195,0.24492,0.41314,-10.75385855
0.39136,0.23523,0.3734,-10.8052027
0.433,0.22627,0.34073,-10.85162874
0.48789,0.22141,0.2907,-10.8795182
0.52414,0.20671,0.26915,-10.76996002
0.55873,0.19928,0.24199,-10.75961552
0.59973,0.18507,0.2152,-10.86225988
0.58533,0.18476,0.22991,-10.93397987
0.57411,0.1841,0.24179,-11.00853424
0.51196,0.2047,0.28334,-10.92368731
0.48135,0.20791,0.31074,-10.94094425
0.42413,0.21898,0.35689,-10.87671364
0.38818,0.23216,0.37966,-10.92222525
0.36872,0.22582,0.40546,-10.86969197
0.31839,0.23826,0.44336,-10.79331442
0.27632,0.22423,0.49945,-10.71932604
0.24542,0.2263,0.52828,-10.5682343
0.21142,0.22046,0.56812,-10.32997785
0.17289,0.21158,0.61553,-10.09322873
0.16524,0.20331,0.63145,-9.874958131
0.14113,0.19822,0.66065,-9.656240961
0.13566,0.1804,0.68394,-9.623731538
0.09544,0.17398,0.73058,-9.461441346
0.09335,0.15644,0.75021,-9.315273996
0.09364,0.14659,0.75977,-10.61901134
0.11066,0.15573,0.73361,-10.77172286
0.10079,0.17321,0.726,-10.81382089
0.14812,0.17885,0.67303,-10.81005514
0.1661,0.19293,0.64097,-10.75068666
0.19453,0.20068,0.60479,-10.73279541
0.20986,0.21813,0.57201,-10.79560053
0.22645,0.21709,0.55646,-10.73535687
0.31962,0.21633,0.46405,-10.61241265
0.36454,0.2172,0.41826,-10.50589552
0.39286,0.22008,0.38706,-10.36150775
0.41666,0.21488,0.36846,-10.11956315
0.46732,0.20995,0.32273,-9.918771545
0.5025,0.20459,0.29291,-9.676358138
0.55288,0.19409,0.25303,-9.453504223
0.56454,0.19297,0.24249,-9.28897605
0.45751,0.20959,0.33289,-9.493961984
0.45751,0.20959,0.33289,-10.02231297
0.42318,0.20611,0.37071,-10.2869137
0.34582,0.21516,0.43902,-10.42806302
0.34582,0.21516,0.43902,-10.56371647
0.30563,0.21352,0.48086,-10.57647234
0.23292,0.21486,0.55222,-10.69707627
0.20857,0.19505,0.59638,-10.76172551
0.20857,0.19505,0.59638,-10.72665837
0.14171,0.18582,0.67247,-10.72584908
0.14171,0.18582,0.67247,-10.76652922
0.09836,0.16955,0.73209,-10.78788434
0.15593,0.17029,0.67378,-10.58994691
0.15593,0.17029,0.67378,-10.59680567
0.17954,0.18828,0.63218,-10.49171814
0.22913,0.18982,0.58105,-10.77586075
0.24431,0.20624,0.54945,-10.81291097
0.24431,0.20624,0.54945,-10.765255
0.29072,0.21094,0.49834,-10.84876809
0.3348,0.20493,0.46027,-10.7568106
0.40171,0.20804,0.39025,-10.64000714
0.45077,0.20377,0.34545,-10.2147136
0.58548,0.27847,0.13605,-10.67807861
0.58548,0.27847,0.13605,-10.67847199
0.53593,0.30961,0.15446,-10.57258044
0.51031,0.33799,0.1517,-10.39417799
0.51031,0.33799,0.1517,-10.18112645
0.47242,0.36173,0.16585,-10.00194827
0.43743,0.38675,0.17582,-9.794903952
0.41176,0.40032,0.18792,-9.681767574
0.34283,0.45955,0.19762,-9.56073364
0.34283,0.45955,0.19762,-9.426789455
0.28569,0.50569,0.20862,-9.273987153
0.2516,0.52267,0.22573,-9.235669911
0.2516,0.52267,0.22573,-9.213788943
0.20703,0.55778,0.23519,-9.135709682
0.20703,0.55778,0.23519,-9.08928117
0.15334,0.56836,0.2783,-9.061591865
0.15076,0.55703,0.29221,-9.101726895
0.1341,0.54052,0.32538,-9.063736149
0.1341,0.54052,0.32538,-9.02610311
0.10792,0.50192,0.39016,-8.96241814
0.10017,0.46162,0.43821,-8.937816772
0.08705,0.44207,0.47088,-8.924212236
0.08867,0.55336,0.35797,-8.944186063
0.08867,0.55336,0.35797,-8.969651294
0.11299,0.56723,0.31978,-9.027134188
0.12272,0.59353,0.28375,-9.040994403
0.151,0.60075,0.24825,-9.117319531
0.16254,0.6031,0.23436,-9.057839102
0.16254,0.6031,0.23436,-9.064347658
0.18369,0.59548,0.22083,-9.091297352
0.23201,0.56271,0.20528,-9.133985732
0.23201,0.56271,0.20528,-9.171173248
0.29475,0.50612,0.19913,-9.217403412
0.29475,0.50612,0.19913,-9.332963796
0.30763,0.49666,0.19572,-9.453114478
0.39018,0.43067,0.17915,-9.54541427
0.41615,0.42322,0.16064,-9.628573762
0.41615,0.42322,0.16064,-9.811504621
0.44323,0.40005,0.15672,-9.984346901
0.51157,0.34276,0.14567,-10.13415782
0.51157,0.34276,0.14567,-10.30454722
0.54359,0.32059,0.13582,-10.41196147
0.46795,0.38183,0.15022,-10.42123476
0.45431,0.40033,0.14535,-10.20530845
0.43105,0.42042,0.14852,-10.12541325
0.43105,0.42042,0.14852,-9.950727694
0.41007,0.4293,0.16063,-9.797318282
0.38282,0.4637,0.15348,-9.709635895
0.34684,0.48755,0.16561,-9.577825614
0.31491,0.51848,0.16661,-9.459061438
0.31491,0.51848,0.16661,-9.375279705
0.29928,0.52873,0.17199,-9.265066623
0.27474,0.5424,0.18286,-9.205116876
0.27474,0.5424,0.18286,-9.157962708
0.2091,0.61565,0.17525,-9.120335951
0.2091,0.61565,0.17525,-9.10780964
0.16821,0.64238,0.18941,-9.091154827
0.16821,0.64238,0.18941,-9.080944408
0.15313,0.63805,0.20882,-9.094849297
0.15313,0.63805,0.20882,-9.098012347
0.11683,0.64778,0.23539,-9.092031079
0.11683,0.64778,0.23539,-9.075539279
0.11994,0.6094,0.27066,-9.055718729
0.11994,0.6094,0.27066,-9.079325803
0.08189,0.57488,0.34323,-9.0139219
0.43868,0.41364,0.14767,-10.02683657
0.4112,0.44501,0.14379,-9.832939773
0.37403,0.46904,0.15693,-9.588220409
0.37403,0.46904,0.15693,-9.482793542
0.3563,0.49071,0.15299,-9.399900926
0.32728,0.51816,0.15456,-9.370809642
0.32728,0.51816,0.15456,-9.287355348
0.27053,0.56953,0.15994,-9.227416475
0.25084,0.58854,0.16062,-9.12297669
0.21765,0.63119,0.15116,-9.068262521
0.21765,0.63119,0.15116,-9.062316646
0.19191,0.65161,0.15648,-9.041315735
0.14496,0.68936,0.16568,-9.059073818
0.14496,0.68936,0.16568,-9.060865293
0.12207,0.6953,0.18263,-9.072272492
0.12207,0.6953,0.18263,-9.093005934
0.1104,0.68887,0.20073,-9.101814183
0.09399,0.66572,0.24029,-9.083372895
0.09399,0.66572,0.24029,-9.136536761
0.09237,0.61007,0.29756,-9.060538158
0.10672,0.67073,0.22255,-9.080273044
0.08355,0.71023,0.20622,-9.042210319
0.0949,0.7335,0.1716,-9.083886777
0.10111,0.72017,0.17872,-9.152382927
0.1183,0.72076,0.16094,-9.139554182
0.11834,0.7262,0.15546,-9.035562162
0.14341,0.70265,0.15394,-9.041805591
0.16105,0.69709,0.14186,-9.05558149
0.16665,0.68138,0.15197,-9.014561849
0.18873,0.66158,0.14969,-9.042727541
0.22002,0.6338,0.14618,-9.0708085
0.23086,0.62067,0.14847,-9.159889512
0.25007,0.59545,0.15448,-9.199293917
0.28406,0.56595,0.14999,-9.249587268
0.30383,0.55314,0.14303,-9.300140603
0.32348,0.53852,0.138,-9.35130732
0.34043,0.5131,0.14647,-9.476712776
0.36456,0.49023,0.14521,-9.617025322
0.4112,0.44501,0.14379,-9.782584495
0.29429,0.55526,0.15045,-9.687236784
0.27088,0.58775,0.14137,-9.526699926
0.27088,0.58775,0.14137,-9.396863209
0.23216,0.62528,0.14256,-9.216519492
0.23216,0.62528,0.14256,-9.132503639
0.23216,0.62528,0.14256,-9.134660279
0.22193,0.64043,0.13764,-9.117240449
0.20872,0.66375,0.12753,-9.002853986
0.19012,0.67126,0.13862,-8.992265021
0.15251,0.71779,0.1297,-8.972866574
0.15251,0.71779,0.1297,-8.96286047
0.11883,0.74038,0.14079,-8.961268597
0.11475,0.74656,0.13869,-8.975580015
0.11475,0.74656,0.13869,-8.950359521
0.09295,0.76283,0.14422,-9.009983211
0.08853,0.7586,0.15287,-9.028543697
0.08442,0.73549,0.18009,-9.017008255
0.08992,0.78337,0.12671,-8.910179637
0.08603,0.78603,0.12794,-8.960720751
0.10007,0.77454,0.12539,-8.92496062
0.10924,0.76637,0.12439,-8.909364617
0.10225,0.76964,0.12811,-8.904617914
0.13769,0.7496,0.11271,-8.935399765
0.15059,0.71979,0.12962,-8.950661787
0.15964,0.71789,0.12247,-8.963442961
0.17744,0.68275,0.13981,-9.046413288
0.18649,0.67676,0.13675,-9.068355535
0.19605,0.67007,0.13388,-9.094729907
0.21774,0.65238,0.12988,-9.253903164
0.25402,0.6013,0.14468,-9.316806119
0.21774,0.65238,0.12988,-9.346412225
0.21774,0.65238,0.12988,-9.205700909
0.18768,0.67741,0.13491,-9.051396828
0.15344,0.71914,0.12742,-9.036778068
0.14077,0.7324,0.12683,-9.035506546
0.13174,0.74778,0.12048,-8.899033571
0.12228,0.76446,0.11326,-8.880826621
0.11333,0.7713,0.11537,-8.872642477
0.11232,0.77674,0.11094,-8.875068864
0.09655,0.79803,0.10542,-8.865472282
0.09045,0.80109,0.10846,-8.879120196
0.08603,0.78603,0.12794,-8.87501675
0.09655,0.79803,0.10542,-8.844703446
0.09655,0.79803,0.10542,-8.864892803
0.11232,0.77674,0.11094,-8.869737011
0.13174,0.74778,0.12048,-8.874424403
0.14077,0.7324,0.12683,-8.860168122
0.14077,0.7324,0.12683,-8.934939658
0.14077,0.7324,0.12683,-8.944442024
